Datestamp: 2016-06-24 11:46:52.751264

Start Date	End Date	gratiacount	gracc_count	diff(gracc-gratia)	Percentage diff
2016-05-24	2016-05-25	1337903	4050	-1333853	-99.6973%
2016-05-25	2016-05-26	1178645	789	-1177856	-99.9331%
2016-05-26	2016-05-27	1501290	7170	-1494120	-99.5224%
2016-05-27	2016-05-28	1137717	20775	-1116942	-98.1740%
2016-05-28	2016-05-29	1080631	89992	-990639	-91.6723%
2016-05-29	2016-05-30	1098016	140769	-957247	-87.1797%
2016-05-30	2016-05-31	1451927	1451605	-322	-0.0222%
2016-05-31	2016-06-01	1193728	1193252	-476	-0.0399%
2016-06-01	2016-06-02	1111088	1973651	862563	77.6323%
2016-06-02	2016-06-03	1140001	1139540	-461	-0.0404%
2016-06-03	2016-06-04	1144866	1144722	-144	-0.0126%
2016-06-04	2016-06-05	1815668	1815841	173	0.0095%
2016-06-05	2016-06-06	1342025	1342025	0	0.0000%
2016-06-06	2016-06-07	1398338	1398338	0	0.0000%
2016-06-07	2016-06-08	1634234	1634232	-2	-0.0001%
2016-06-08	2016-06-09	1581778	1581773	-5	-0.0003%
2016-06-09	2016-06-10	1280921	1280915	-6	-0.0005%
2016-06-10	2016-06-11	2502423	2502413	-10	-0.0004%
2016-06-11	2016-06-12	1646380	1646374	-6	-0.0004%
2016-06-12	2016-06-13	1615409	1615406	-3	-0.0002%
2016-06-13	2016-06-14	1484287	1484281	-6	-0.0004%
2016-06-14	2016-06-15	1415000	1414999	-1	-0.0001%
2016-06-15	2016-06-16	1208222	1208216	-6	-0.0005%
2016-06-16	2016-06-17	1290250	1290245	-5	-0.0004%
2016-06-17	2016-06-18	1165072	1165070	-2	-0.0002%
2016-06-18	2016-06-19	1125072	1125067	-5	-0.0004%
2016-06-19	2016-06-20	1028343	1028341	-2	-0.0002%
2016-06-20	2016-06-21	1323936	1323922	-14	-0.0011%
2016-06-21	2016-06-22	1189711	1189711	0	0.0000%
2016-06-22	2016-06-23	1054692	1054690	-2	-0.0002%
2016-06-23	2016-06-24	1080816	1080857	41	0.0038%

Success
