Datestamp: 2016-06-24 10:41:05.874431

Start Date	End Date	gratiacount	gracc_count	diff(gracc-gratia)	Percentage diff
2016-06-01	2016-06-02	1111088	1973651	862563	77.6323%
2016-06-02	2016-06-03	1140001	1139540	-461	-0.0404%
2016-06-03	2016-06-04	1144866	1144722	-144	-0.0126%
2016-06-04	2016-06-05	1815668	1815841	173	0.0095%
2016-06-05	2016-06-06	1342025	1342025	0	0.0000%
2016-06-06	2016-06-07	1398338	1398338	0	0.0000%
2016-06-07	2016-06-08	1634234	1634232	-2	-0.0001%
2016-06-08	2016-06-09	1581777	1581772	-5	-0.0003%
2016-06-09	2016-06-10	1280921	1280915	-6	-0.0005%
2016-06-10	2016-06-11	2502423	2502413	-10	-0.0004%
2016-06-11	2016-06-12	1646379	1646373	-6	-0.0004%
2016-06-12	2016-06-13	1615409	1615406	-3	-0.0002%
2016-06-13	2016-06-14	1484287	1484281	-6	-0.0004%
2016-06-14	2016-06-15	1415000	1414999	-1	-0.0001%
2016-06-15	2016-06-16	1208203	1208196	-7	-0.0006%
2016-06-16	2016-06-17	1290249	1290244	-5	-0.0004%
2016-06-17	2016-06-18	1165043	1165041	-2	-0.0002%
2016-06-18	2016-06-19	1125066	1125061	-5	-0.0004%
2016-06-19	2016-06-20	1028343	1028341	-2	-0.0002%
2016-06-20	2016-06-21	1323926	1323911	-15	-0.0011%
2016-06-21	2016-06-22	1189663	1189661	-2	-0.0002%
2016-06-22	2016-06-23	1054677	1054672	-5	-0.0005%
2016-06-23	2016-06-24	1074492	1074493	1	0.0001%
2016-06-24	2016-06-25	631364	633243	1879	0.2976%

Success
